WL FLUX ERROR
1022.85 0.0 99.0
1023.35 0.0 99.0
1023.85 0.0 99.0
1024.35 0.0 99.0
1024.86 0.0 99.0
1025.36 0.0 99.0
1025.86 0.0 99.0
1026.37 0.0 99.0
1026.87 0.0 99.0
1027.37 0.0 99.0
1027.88 0.0 99.0
1028.38 0.0 99.0
1028.89 0.0 99.0
1029.39 0.0 99.0
1029.9 0.0 99.0
1030.4 0.0 99.0
1030.91 0.0 99.0
1031.41 0.0 99.0
1031.92 0.0 99.0
1032.42 0.0 99.0
1032.93 0.0 99.0
1033.44 0.0 99.0
1033.94 0.0 99.0
1034.45 0.0 99.0
1034.96 0.0 99.0
1035.46 0.0 99.0
1035.97 0.0 99.0
1036.48 0.0 99.0
1036.99 0.0 99.0
1037.5 0.0 99.0
1038.01 0.0 99.0
1038.51 0.0 99.0
1039.02 0.0 99.0
1039.53 0.0 99.0
1040.04 0.0 99.0
1040.55 0.0 99.0
1041.06 0.0 99.0
1041.57 0.0 99.0
1042.08 0.0 99.0
1042.59 0.0 99.0
1043.11 0.0 99.0
1043.62 0.0 99.0
1044.13 0.0 99.0
1044.64 0.0 99.0
1045.15 0.0 99.0
1045.67 0.0 99.0
1046.18 0.0 99.0
1046.69 0.0 99.0
1047.2 0.0 99.0
1047.72 0.0 99.0
1048.23 0.0 99.0
1048.75 0.0 99.0
1049.26 0.0 99.0
1049.78 0.0 99.0
1050.29 0.0 99.0
1050.81 0.0 99.0
1051.32 0.0 99.0
1051.83 0.0 99.0
1052.35 0.0 99.0
1052.87 0.0 99.0
1053.38 0.0 99.0
1053.9 0.0 99.0
1054.42 0.0 99.0
1054.93 0.0 99.0
1055.45 0.0 99.0
1055.97 0.0 99.0
1056.49 0.0 99.0
1057.01 0.0 99.0
1057.52 0.0 99.0
1058.04 0.0 99.0
1058.56 0.0 99.0
1059.08 0.0 99.0
1059.6 0.0 99.0
1060.12 0.0 99.0
1060.64 0.0 99.0
1061.16 0.0 99.0
1061.68 0.0 99.0
1062.2 0.0 99.0
1062.72 0.0 99.0
1063.24 0.0 99.0
1063.76 0.0 99.0
1064.28 0.0 99.0
1064.81 0.0 99.0
1065.33 0.0 99.0
1065.85 0.0 99.0
1066.37 0.0 99.0
1066.9 0.0 99.0
1067.42 0.0 99.0
1067.94 0.0 99.0
1068.47 0.0 99.0
1068.99 0.0 99.0
1069.52 0.0 99.0
1070.04 0.0 99.0
1070.56 0.0 99.0
1071.09 0.0 99.0
1071.61 0.0 99.0
1072.14 0.0 99.0
1072.67 0.0 99.0
1073.19 0.0 99.0
1073.72 0.0 99.0
1074.24 0.0 99.0
1074.77 0.0 99.0
1075.3 0.0 99.0
1075.82 0.0 99.0
1076.35 0.0 99.0
1076.88 0.0 99.0
1077.41 0.0 99.0
1077.94 0.0 99.0
1078.47 0.0 99.0
1078.99 0.0 99.0
1079.52 0.0 99.0
1080.05 0.0 99.0
1080.58 0.0 99.0
1081.11 0.0 99.0
1081.64 0.0 99.0
1082.17 0.0 99.0
1082.7 0.0 99.0
1083.23 0.0 99.0
1083.77 0.0 99.0
1084.3 0.0 99.0
1084.83 0.0 99.0
1085.36 0.0 99.0
1085.89 0.0 99.0
1086.43 0.0 99.0
1086.96 0.0 99.0
1087.49 0.0 99.0
1088.02 0.0 99.0
1088.56 0.0 99.0
1089.09 0.0 99.0
1089.63 0.0 99.0
1090.16 0.0 99.0
1090.69 0.0 99.0
1091.23 0.0 99.0
1091.77 0.0 99.0
1092.3 0.0 99.0
1092.84 0.0 99.0
1093.37 0.0 99.0
1093.91 0.0 99.0
1094.44 0.0 99.0
1094.98 0.0 99.0
1095.52 0.0 99.0
1096.06 0.0 99.0
1096.59 0.0 99.0
1097.13 0.0 99.0
1097.67 0.0 99.0
1098.21 0.0 99.0
1098.74 0.0 99.0
1099.28 0.0 99.0
1099.82 0.0 99.0
